feature,outlier_count,outlier_pct,Q1,Q3,IQR,lower_bound,upper_bound,min,max
Gyro_Z_kurtosis,48,10.084033613445378,-1.213787717707052,-0.6685165662120605,0.5452711514949915,-2.8496011721920267,0.967296888272914,-1.9414764118727121,4.259391350677538
acc_Sum_std,37,7.773109243697479,0.08967457341948142,0.1448810557557677,0.05520648233628629,-0.07594487358937747,0.3105005027646266,0.0231579380151956,1.608540666761351
acc_Y_std,37,7.773109243697479,0.11934189067529566,0.18309539149190124,0.06375350081660558,-0.07191861177452108,0.374355893941718,0.0339003432583482,2.515490790240642
acc_Y_rms,37,7.773109243697479,0.12190316261054829,0.18626582469486935,0.06436266208432107,-0.07118482364241491,0.37935381094783255,0.033928037858247155,2.5872430975967835
acc_Y_peak,34,7.142857142857142,0.5288726836442947,0.881209373474121,0.35233668982982624,-0.5281373858451839,1.9382194429635997,0.111801460385323,9.42702865600586
acc_Sum_peak,34,7.142857142857142,0.63617217540741,1.05582767724991,0.4196555018425,-0.6227943301200899,2.31479418277741,0.141130849719048,7.8650336265564
acc_Sum_rms,33,6.932773109243698,0.2018317787252727,0.3107160771301039,0.10888429840483121,-0.12482111648922095,0.6373689723445976,0.062413281829958284,2.7157488077555727
acc_Sum_mean,33,6.932773109243698,0.17793417347281348,0.27568376765719904,0.09774959418438556,-0.11531460908034319,0.5689325502103557,0.05757871785854718,2.2331254301231525
acc_Z_peak,33,6.932773109243698,0.4485787898302075,0.788834452629089,0.34025566279888153,-0.5721881985664371,1.8096014410257335,0.118990734219551,4.4273567199707
acc_Z_rms,33,6.932773109243698,0.10640742908365282,0.19790920419624536,0.09150177511259254,-0.1680978962541248,0.47241452953402296,0.03709233449709319,1.1874016619062686
acc_Z_std,33,6.932773109243698,0.10564469753280857,0.19774162703181913,0.09209692949901056,-0.17064609096422312,0.47403241552885084,0.037026564789312655,1.1874015389372798
acc_X_std,33,6.932773109243698,0.10895390600177642,0.1566439279853271,0.0476900219835507,-0.034116159948875666,0.2997139939359792,0.036166144521331565,1.0175349274073378
acc_X_rms,33,6.932773109243698,0.1095586758935195,0.15770578279343628,0.048147106899916775,-0.03488264480623082,0.30214710349318663,0.036207732024280403,1.0181014596440432
acc_X_peak,32,6.722689075630252,0.410595685243607,0.6259417980909348,0.21534611284732774,-0.23544265329837621,1.271980136632918,0.124634444713593,4.68804883956909
acc_Y_mean,31,6.512605042016808,-0.01756194295090629,0.024364812011034576,0.04192675496194087,-0.1433422078367289,0.1501450768968572,-0.05455569079075184,0.607488782785083
Gyro_Y_peak,18,3.7815126050420167,0.8283644020557399,1.90184080600739,1.07347640395165,-2.39206480979921,5.1222700178623395,0.398932844400406,10.4571380615234
Gyro_Z_skewness,18,3.7815126050420167,-0.14489711821579185,0.24154926900915713,0.38644638722494895,-1.3042362798906388,1.4008884306840041,-2.4771073810205544,1.6975268506183117
Gyro_Y_std,11,2.3109243697478994,0.3559240247615302,0.755521769630364,0.3995977448688338,-0.8428692098449714,1.9543150042368655,0.007109687326441072,3.2478710243332114
Gyro_Y_kurtosis,10,2.100840336134454,-1.4055277239200614,-0.6074616377642731,0.7980660861557883,-3.7997259823874265,1.786736620703092,-1.7818198188555885,6.3822736762902945
Gyro_X_crest,10,2.100840336134454,1.5312721067638713,1.852952795473019,0.3216806887091477,0.5662300406364282,2.8179948616004618,1.00782815188915,3.596282917322809
acc_X_mean,8,1.680672268907563,-0.009629381042204788,0.015165870443570357,0.024795251485775147,-0.08401513549953023,0.0895516249008958,-0.04255981199688729,0.1659543425221356
Gyro_Y_rms,7,1.4705882352941175,0.4501696702367181,1.2424042191808695,0.7922345489441514,-1.926533976595736,3.619107866013324,0.1890041415965454,4.75926965534182
Gyro_Z_crest,7,1.4705882352941175,1.8181559435151886,1.995291058165255,0.17713511465006637,1.2867505995649895,2.526696402115454,1.0000910754567416,2.444687915900253
Gyro_X_peak,6,1.2605042016806722,0.8421858400106432,1.59771311283112,0.7555272728204767,-1.424395978450787,3.86429493129255,0.302097797393799,4.75450420379639
acc_Z_kurtosis,6,1.2605042016806722,0.49832947577507714,1.1078209544026354,0.6094914786275583,-1.3301449601075976,2.93629539028531,-0.22023346995372917,5.927155920754153
Gyro_X_kurtosis,4,0.8403361344537815,-1.4532666290724372,-0.43005686169201485,1.0232097673804224,-4.5228959312137045,2.6395724404492524,-1.736096933642257,6.628731321873431
acc_Y_kurtosis,4,0.8403361344537815,0.47895031387366016,1.633513094028938,1.1545627801552778,-2.9847380265921735,5.097201434494772,-0.19659189828251833,16.238474233925313
acc_X_kurtosis,4,0.8403361344537815,-0.016603588100785438,0.5066725630227665,0.523276151123552,-1.5864320414714412,2.0765010163934225,-0.6178933571904377,8.359373001014841
acc_Sum_kurtosis,4,0.8403361344537815,0.6109286076155837,1.5441651845052728,0.9332365768896892,-2.188781123053484,4.34387491517434,-0.2618633515646831,9.313439530626304
acc_Sum_skewness,3,0.6302521008403361,0.8358868012355295,1.0786046897237611,0.24271788848823161,0.10773313577083465,1.8067583551884558,0.4451705182177675,2.882038538130218
acc_Y_crest,3,0.6302521008403361,3.9827404518157805,4.830142849979007,0.8474023981632262,1.440533257326102,7.372350044468686,3.1919189069144416,9.819595437483967
Gyro_Y_mean,2,0.42016806722689076,0.0033983640415113925,0.8800669127772265,0.8766685487357151,-2.626607282165634,3.5100725589843718,-0.7860504948939138,3.6557026922382647
acc_Z_skewness,2,0.42016806722689076,-0.09533241965885068,0.1819749834280405,0.27730740308689117,-0.9272546289195241,1.013897192688714,-0.7003939632032912,1.13134537598288
acc_Z_crest,2,0.42016806722689076,3.757844599164577,4.355432017290479,0.5975874181259018,1.9650823447868717,6.148194271668184,3.1426937691050707,6.304669199049867
acc_X_skewness,2,0.42016806722689076,-0.14138810992237605,0.13325666286726004,0.27464477278963606,-0.9653224282912842,0.9571909812361682,-1.144590350985929,0.5339678331390144
acc_Sum_crest,2,0.42016806722689076,2.9647273027579035,3.511005440883462,0.5462781381255586,1.3258928883812278,5.149839855260138,2.2612310325797575,5.955532521124446
acc_X_crest,2,0.42016806722689076,3.536847005908834,4.076348455497788,0.5395014495889541,1.918342657141972,5.6948528042646505,2.6838553054738945,6.659609907476359
Gyro_Y_crest,1,0.21008403361344538,1.5245191691207582,1.960358196550899,0.4358390274301407,0.21700208683033617,3.267875278841321,1.0129075485097812,3.2727171472336773
acc_Z_mean,1,0.21008403361344538,-0.0053301663551679175,0.014289866125189144,0.019620032480357062,-0.0641902637962391,0.07314996356626033,-0.06383786920322132,0.07854708052694191
Gyro_X_std,1,0.21008403361344538,0.3523288254947887,0.7466422251251995,0.3943133996304108,-0.8306113733964435,1.9295824240164317,0.010400102320872682,2.2247443177227493
